ID;DATE;TYPE;KIA;WIA;CITY;REGION;COUNTRY;DETAILS;GROUP;REMARKS;TEXT;FORMATTED_ADDRESS;LOCATION_LAT;LOCATION_LNG;LOCATION_CITY;LOCATION_REGION;LOCATION_COUNTRY;LOCATION_TYPE
173;05/07/2015;UNKNOWN;0;0;Odessa;ODESSA;UKRAINE;An IED close to a billboard was disposed by Police;;Between Cosmonauts St and General Petrov St. Reported as RCIED (TBC);An IED close to a billboard was disposed by Police Between Cosmonauts St and General Petrov St. Reported as RCIED (TBC);Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
174;05/07/2015;CACHE/FOUND;0;0;Mikolayiv;MIKOLAYIV;UKRAINE;Detention of a group planning to blown a bridge up;;Explosives seized. They planned to attack Ingul & Varvarovskogo bridges.;Detention of a group planning to blown a bridge up Explosives seized. They planned to attack Ingul & Varvarovskogo bridges.;Mykolaiv, Mykolaivs'ka oblast, Ukraine;46,975033;31,994583;Mykolaiv;Mykolaivs'ka oblast;Ukraine;APPROXIMATE
175;04/07/2015;CACHE/FOUND;0;0;Novohrad-Volynskyi;ZHYTOMYR;UKRAINE;A cache protected by IEDs was found;;Some IEDs were found along with hand grenades and ammunition;A cache protected by IEDs was found Some IEDs were found along with hand grenades and ammunition;Novohrad-Volyns'kyi, Zhytomyrs'ka oblast, Ukraine;50,5860203;27,6363775;Novohrad-Volyns'kyi;Zhytomyrs'ka oblast;Ukraine;APPROXIMATE
176;04/07/2015;UNKNOWN;0;0;Sumy;SUMY;UKRAINE;IED was detonated against a political party local office;;Office of political party ‚???????????é (Fatherland).;IED was detonated against a political party local office Office of political party ‚???????????é (Fatherland).;Sumy, Sums'ka oblast, Ukraine;50,9077;34,7981;Sumy;Sums'kyi district;Ukraine;APPROXIMATE
177;03/07/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Rymarska Street;Call reporting IED - First Responders action - no explosive Rymarska Street;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
178;02/07/2015;UNKNOWN;0;0;Odessa;ODESSA;UKRAINE;A device was blown up against a restaurant;;????????? (Angelov) Caf_ (400-650 gr TNT equivalent). ;"A device was blown up against a restaurant ""?????????"" (Angelov) Caf_ (400-650 gr TNT equivalent). ";Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
179;02/07/2015;CACHE/FOUND;0;0;Kiev;KIEV;UKRAINE;About 4 Kg of explosive were found in a weapons cache;;Darnitsky district;About 4 Kg of explosive were found in a weapons cache Darnitsky district;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
180;01/07/2015;CACHE/FOUND;0;0;Komsomolsk;POLTAVA;UKRAINEæ;During the detention of suspects, explosives were seized;;400 grams of TNT along with weapons;During the detention of suspects, explosives were seized 400 grams of TNT along with weapons;Komsomol's'k, Poltavs'ka oblast, Ukraine, 39800;49,0156679;33,6450451;Komsomol's'k;Kremenchuts'kyi district;Ukraine;APPROXIMATE
181;01/07/2015;UNKNOWN;0;0;Darivka;LUHANSK ;UKRAINE;IED attack damaged railroad and a locomotive;;;IED attack damaged railroad and a locomotive ;Dar'ivka, Luhans'ka oblast, Ukraine, 94871;47,9828115;39,4237153;Dar'ivka;Luhans'ka oblast;Ukraine;APPROXIMATE
182;01/07/2015;UNKNOWN;0;0;Kharkiv;KHARKIV;UKRAINE;A device was blown up close to a university hostel;;"Near ""Oleksiivska"" Metro Station. Two more explosions reported during night";"A device was blown up close to a university hostel Near ""Oleksiivska"" Metro Station. Two more explosions reported during night";Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
183;01/07/2015;HOAX/FALSE;0;0;Mikolayiv;MIKOLAYIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Against a gas pipeline. Caller was identified and detained.;Call reporting IED - First Responders action - no explosive Against a gas pipeline. Caller was identified and detained.;Mykolaiv, Mykolaivs'ka oblast, Ukraine;46,975033;31,994583;Mykolaiv;Mykolaivs'ka oblast;Ukraine;APPROXIMATE
184;30/06/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Rymarska Street;Call reporting IED - First Responders action - no explosive Rymarska Street;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
185;29/06/2015;CACHE/FOUND;0;0;Milovskyi;LUHANSK;UKRAINE;Explosives and components for IEDs were seized;;Along with weapons, during the detention of a suspect group;Explosives and components for IEDs were seized Along with weapons, during the detention of a suspect group;Milovs'kyi Passage, Luhans'k, Luhans'ka oblast, Ukraine;48,56464;39,268665;Milovs'kyi Passage;Luhans'k;Ukraine;GEOMETRIC_CENTER
186;27/06/2015;CACHE/FOUND;0;0;Artemivsk;DONETSK;UKRAINE;Explosives and weapons were found inside a private house;;About one hundred TNT blocks, three kilos of plastic explosive, detonators;Explosives and weapons were found inside a private house About one hundred TNT blocks, three kilos of plastic explosive, detonators;Bakhmut, Donetsk Oblast, Ukraine;48,5986674;37,9980367;Bakhmut;Donetsk Oblast;Ukraine;APPROXIMATE
187;26/06/2015;UNKNOWN;0;0;Orikhove;LUHANSK ;UKRAINE;A portion of railway was blown up;;;A portion of railway was blown up ;Orikhove, Luhans'ka oblast, Ukraine, 94683;48,0378333;39,1698941;Orikhove;Luhans'ka oblast;Ukraine;APPROXIMATE
188;26/06/2015;HOAX/FALSE;0;0;Odessa;ODESSA;UKRAINE;Call reporting IED - First Responders action - no explosive;;Legal College, owned by Peoples Deputy Sergey Kivalov,  in Biskvitny Lane ;Call reporting IED - First Responders action - no explosive Legal College, owned by Peoples Deputy Sergey Kivalov,  in Biskvitny Lane ;Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
189;26/06/2015;CACHE/FOUND;0;0;Kukshym;CHERNIHIV;UKRAINE;Some explosives were found after the detention of suspects;;;Some explosives were found after the detention of suspects ;Chernihiv, Chernihivs'ka oblast, Ukraine;51,4982;31,28935;Chernihiv;Chernihivs'ka oblast;Ukraine;APPROXIMATE
190;25/06/2015;UNKNOWN;0;1;Shyroka;LUHANSK ;UKRAINE;A device detonated when trying to open an abandoned bag;;Possible VOIED;A device detonated when trying to open an abandoned bag Possible VOIED;Shyroka St, Luhans'k, Luhans'ka oblast, Ukraine;48,547477;39,3014059;Shyroka Street;Luhans'ka city council;Ukraine;GEOMETRIC_CENTER
191;25/06/2015;CACHE/FOUND;0;0;Borovske;LUHANSK;UKRAINE;A roadside IED was found;;Electric detonator, TNT block & VOG-25 grenade as main cahrge;A roadside IED was found Electric detonator, TNT block & VOG-25 grenade as main cahrge;Luhansk, Luhans'ka oblast, Ukraine;48,574041;39,307815;Luhansk;Luhans'ka oblast;Ukraine;APPROXIMATE
192;25/06/2015;UNKNOWN;0;1;Lviv;LVIV;UKRAINE;A patrol car was blown up in front of its Police Station;;Chuprinky Street. VAZ-2109 car of Frankivskiy district Police Department ;A patrol car was blown up in front of its Police Station Chuprinky Street. VAZ-2109 car of Frankivskiy district Police Department ;Lviv, Lviv Oblast, Ukraine;49,839683;24,029717;Lviv;Lviv Oblast;Ukraine;APPROXIMATE
193;24/06/2015;CACHE/FOUND;0;0;Chasir Yav;DONETSK;UKRAINE;Explosives were found during a search after some detentions;;25 + 12 Kg of plastic explosive found in the house of a suspectÇs parents;Explosives were found during a search after some detentions 25 + 12 Kg of plastic explosive found in the house of a suspectÇs parents;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
194;24/06/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Central railway station;Call reporting IED - First Responders action - no explosive Central railway station;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
195;23/06/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Against District Court;Call reporting IED - First Responders action - no explosive Against District Court;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
196;22/06/2015;UNKNOWN;0;0;Kiev;KIEV;UKRAINE;"IEDs were detonated against offices of ""Sberbank of Russia""";;Akhmatova Street & Kurenivka Street;"IEDs were detonated against offices of ""Sberbank of Russia"" Akhmatova Street & Kurenivka Street";Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
197;20/06/2015;UNKNOWN;0;0;Troyitske;LUHANSK;UKRAINE;Road bridge between Popasna and Troyitske was blown up;;;Road bridge between Popasna and Troyitske was blown up ;Luhansk, Luhans'ka oblast, Ukraine;48,574041;39,307815;Luhansk;Luhans'ka oblast;Ukraine;APPROXIMATE
198;17/06/2015;CACHE/FOUND;0;0;Illicha;DONETSK;UKRAINE;2 suspected IEDs were found laid under railway;;TM-62M landmines as main charge. No evidence of switch, possible HOAX;2 suspected IEDs were found laid under railway TM-62M landmines as main charge. No evidence of switch, possible HOAX;Illinivka, Donetsk Oblast, Ukraine, 85143;48,4963388;37,6619159;Illinivka;Donetsk Oblast;Ukraine;APPROXIMATE
199;17/06/2015;UNKNOWN;0;1;Novotoshkivske;LUHANSK;UKRAINE;A civilian was injured by a device activated through tripwire;;It is not clear if it was a landmine or an IED;A civilian was injured by a device activated through tripwire It is not clear if it was a landmine or an IED;Novotoshkivs'ke, Luhans'ka oblast, Ukraine, 93891;48,7270139;38,6330587;Novotoshkivs'ke;Luhans'ka oblast;Ukraine;APPROXIMATE
200;16/06/2015;UNKNOWN;0;0;Sumy;SUMY;UKRAINE;IED was detonated against Sdovoba party local office;;;IED was detonated against Sdovoba party local office ;Sumy, Sums'ka oblast, Ukraine;50,9077;34,7981;Sumy;Sums'kyi district;Ukraine;APPROXIMATE
201;16/06/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Suspicious IED - First Responders action - no explosive;;Liberty Square;Suspicious IED - First Responders action - no explosive Liberty Square;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
202;16/06/2015;CACHE/FOUND;0;0;Kiev;KIEV;UKRAINE;Explosives were seized durig the detntion of suspects;;TNT;Explosives were seized durig the detntion of suspects TNT;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
203;16/06/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;"Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square";"Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square";Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
204;15/06/2015;UNKNOWN;0;0;Kherson;KHERSON;UKRAINE;IED used against residence of Regional State governor;;;IED used against residence of Regional State governor ;Kherson, Khersons'ka oblast, Ukraine;46,635417;32,616867;Kherson;Khersons'ka oblast;Ukraine;APPROXIMATE
205;13/06/2015;UNKNOWN;1;0;Troyitske;LUHANSK;UKRAINE;A soldier was killed due to the detonation of an IED;;;A soldier was killed due to the detonation of an IED ;Luhansk, Luhans'ka oblast, Ukraine;48,574041;39,307815;Luhansk;Luhans'ka oblast;Ukraine;APPROXIMATE
206;12/06/2015;UNKNOWN;0;0;Poposna;LUHANSK;UKRAINE;IED attack against a railway bridge;;6 more IEDs were found. Artillery shells açused as main charge.;IED attack against a railway bridge 6 more IEDs were found. Artillery shells açused as main charge.;Luhansk, Luhans'ka oblast, Ukraine;48,574041;39,307815;Luhansk;Luhans'ka oblast;Ukraine;APPROXIMATE
207;12/06/2015;UNKNOWN;0;0;Odessa;ODESSA;UKRAINE;A device was blown up;;In the crossing of Admiralsky Avenue and Krasnova Street;A device was blown up In the crossing of Admiralsky Avenue and Krasnova Street;Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
208;12/06/2015;UNKNOWN;0;0;Svitlodarsk;DONETSK;UKRAINE;IED attack against a railway bridge;;;IED attack against a railway bridge ;Svitlodars'k, Donetsk Oblast, Ukraine, 84792;48,4346796;38,220428;Svitlodars'k;Donetsk Oblast;Ukraine;APPROXIMATE
209;12/06/2015;UNKNOWN;0;0;Odessa;ODESSA;UKRAINE;A device was blown up against a billboard with patriotic message;;(200 gr TNT equ) Between Velika Arnautska St & Staroportofranskivska St;A device was blown up against a billboard with patriotic message (200 gr TNT equ) Between Velika Arnautska St & Staroportofranskivska St;Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
210;11/06/2015;CACHE/FOUND;0;0;TBD;ZAPORIZHYE;UKRAINE;2 suspects were detained while transporting explosive and weapons;;370 gr of plastic explosive;2 suspects were detained while transporting explosive and weapons 370 gr of plastic explosive;NULL;NULL;NULL;NULL;NULL;NULL;NULL
211;11/06/2015;UNKNOWN;0;0;Yasynuvata;DONETSK;UKRAINE;A device was blown up against railway;;"Between ""Yasinovataya"" & ""Skotovataya"" stations";"A device was blown up against railway Between ""Yasinovataya"" & ""Skotovataya"" stations";Yasynuvata, Donetsk Oblast, Ukraine;48,1221425;37,8765944;Yasynuvata;Donetsk Oblast;Ukraine;APPROXIMATE
212;10/06/2015;CACHE/FOUND;0;0;Chasiv Yar;DONETSK;UKRAINE;12 Kg of plastic explosive were seized after a detention of suspects;;;12 Kg of plastic explosive were seized after a detention of suspects ;Chasiv Yar, Donetsk Oblast, Ukraine;48,5884808;37,8354218;Chasiv Yar;Donetsk Oblast;Ukraine;APPROXIMATE
213;09/06/2015;CACHE/FOUND;0;0;Gavrilovka;DNIPROPETROVSK;UKRAINE;Explosive and weapons were seized inside a car during a road control;;Some quantities of TNT and plastic explosive, along with rockets;Explosive and weapons were seized inside a car during a road control Some quantities of TNT and plastic explosive, along with rockets;Havrylivka, Dnipropetrovsk Oblast, Ukraine, 53614;48,0807398;36,5231649;Havrylivka;Dnipropetrovsk Oblast;Ukraine;APPROXIMATE
214;09/06/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;"Against ""Derzhprom"" & ""Universytet "" metro station";"Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station";Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
215;08/06/2015;CACHE/FOUND;0;0;TBD;SUMY;UKRAINE;A man was detained while trying to use an IED against a gas pipeline;;"Urengoy_Pomary_Uzhgorod pipeline, near ""Ukrtransgaz""operation center ";"A man was detained while trying to use an IED against a gas pipeline Urengoy_Pomary_Uzhgorod pipeline, near ""Ukrtransgaz""operation center ";Sumy, Sums'ka oblast, Ukraine;50,9077;34,7981;Sumy;Sums'kyi district;Ukraine;APPROXIMATE
216;07/06/2015;UNKNOWN;1;5;Mariupol;DONETSK;UKRAINE;A homemade sea mine detonated against a patrol boat;;The boat was leaving the Korabelno bay. It was reported as WBIED;A homemade sea mine detonated against a patrol boat The boat was leaving the Korabelno bay. It was reported as WBIED;Mariupol', Donetsk Oblast, Ukraine;47,097133;37,543367;Mariupol';Donetsk Oblast;Ukraine;APPROXIMATE
217;04/06/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Suspicious IED - First Responders action - no explosive;;In the Rada (City Council) in Khrestchatyk Street;Suspicious IED - First Responders action - no explosive In the Rada (City Council) in Khrestchatyk Street;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
218;04/06/2015;UNKNOWN;0;0;Dachne;ODESSA;UKRAINE;A fridge train was affected by the detonation of a device;;2 devices detonated in both sides of railway (total 10 Kg TNT equivalent);A fridge train was affected by the detonation of a device 2 devices detonated in both sides of railway (total 10 Kg TNT equivalent);Dachne, Odessa Oblast, Ukraine;46,5818345;30,5459549;Dachne;Odessa Oblast;Ukraine;APPROXIMATE
219;04/06/2015;CACHE/FOUND;0;0;Kharkiv;KHARKIV;UKRAINE;Suspect arrested trying to use an IED against a railway bridge;;TM-62 mine main charge + cellphone switch. Kupyansk-Svyatogorsk way.;Suspect arrested trying to use an IED against a railway bridge TM-62 mine main charge + cellphone switch. Kupyansk-Svyatogorsk way.;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
220;04/06/2015;CACHE/FOUND;0;0;Kapitanove;LUHANSK ;UKRAINE;IED was found. Mortar grenade with plastic explosive as main charge.;;Search after an attack with 2 MON-50 mines against a civilian car;IED was found. Mortar grenade with plastic explosive as main charge. Search after an attack with 2 MON-50 mines against a civilian car;Kapitanove, Luhans'ka oblast, Ukraine, 93536;48,8294653;38,7765061;Kapitanove;Luhans'ka oblast;Ukraine;APPROXIMATE
221;03/06/2015;CACHE/FOUND;0;0;Kharkiv;KHARKIV;UKRAINE;Suspect arrested trying to use an IED against a military  fuel depot;;TM-62 mine + SPM charge, cellphone as switch, electric detonator;Suspect arrested trying to use an IED against a military  fuel depot TM-62 mine + SPM charge, cellphone as switch, electric detonator;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
222;02/06/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;"Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square";"Call reporting IED - First Responders action - no explosive Against ""Derzhprom"" & ""Universytet "" metro station in Svobody Square";Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
223;02/06/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Suspicious IED - First Responders action - no explosive;;Lenins Avenue;Suspicious IED - First Responders action - no explosive Lenins Avenue;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
224;01/06/2015;UNKNOWN;0;0;Shoirohino;DONETSK;UKRAINE;A device was command detonated in a residential area;;;A device was command detonated in a residential area ;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
225;31/05/2015;CACHE/FOUND;0;0;Kharkiv;KHARKIV;UKRAINE;Three elements of a criminal group were arrested, explosives seized;;8 Kg of TNT/plastic explosive and 240 electric detonators. ;Three elements of a criminal group were arrested, explosives seized 8 Kg of TNT/plastic explosive and 240 electric detonators. ;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
226;31/05/2015;UNKNOWN;2;0;Stanytsia Luhanska;LUHANSK ;UKRAINE;Two civilians died after an IED detonation;;;Two civilians died after an IED detonation ;Stanytsia Luhanska, Luhans'ka oblast, Ukraine, 93600;48,6798458;39,4672507;Stanytsia Luhanska;Luhans'ka oblast;Ukraine;APPROXIMATE
227;30/05/2015;UNKNOWN;1;0;Vynohradne;DONETSK;UKRAINE;A fiherman died after the detonation of a device in the seaport;;Officials related the device with the one against a patrol boat (07 Jun 2015);A fiherman died after the detonation of a device in the seaport Officials related the device with the one against a patrol boat (07 Jun 2015);Vynohradne, Donetsk Oblast, Ukraine, 87642;47,0944736;37,6806517;Vynohradne;Donetsk Oblast;Ukraine;APPROXIMATE
228;29/05/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Suspicious IED - First Responders action - no explosive;;Schevchenko Boulevard;Suspicious IED - First Responders action - no explosive Schevchenko Boulevard;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
229;29/05/2015;CACHE/FOUND;0;0;Stanytsia Luhanska;LUHANSK;UKRAINE;A device was discovered by Security Forces;;120 mm mortar projectile as a main charge, attached to a RC switch;A device was discovered by Security Forces 120 mm mortar projectile as a main charge, attached to a RC switch;Stanytsia Luhanska, Luhans'ka oblast, Ukraine, 93600;48,6798458;39,4672507;Stanytsia Luhanska;Luhans'ka oblast;Ukraine;APPROXIMATE
230;29/05/2015;HOAX/FALSE;0;0;Mikolayiv;MIKOLAYIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Against a trolleybus;Call reporting IED - First Responders action - no explosive Against a trolleybus;Mykolaiv, Mykolaivs'ka oblast, Ukraine;46,975033;31,994583;Mykolaiv;Mykolaivs'ka oblast;Ukraine;APPROXIMATE
231;28/05/2015;UNKNOWN;0;0;Kiev;KIEV;UKRAINE;IED attack against a ROSHEN store;;Minskaya Street in Obolon district;IED attack against a ROSHEN store Minskaya Street in Obolon district;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
232;28/05/2015;UNKNOWN;1;1;Kiev;KIEV;UKRAINE;An IED was detonated in a residential area;;Dniprovskyi district;An IED was detonated in a residential area Dniprovskyi district;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
233;27/05/2015;VOIED;1;1;Stanytsia Luhanska;LUHANSK ;UKRAINE;Soldiers were affected by the detonation of an improvised device;;;Soldiers were affected by the detonation of an improvised device ;Stanytsia Luhanska, Luhans'ka oblast, Ukraine, 93600;48,6798458;39,4672507;Stanytsia Luhanska;Luhans'ka oblast;Ukraine;APPROXIMATE
234;27/05/2015;CACHE/FOUND;0;0;Pavlohrad;DNIPROPETROVSK;UKRAINE;Two detainees when trying to lay an IED;;Bridge over Vovcha river;Two detainees when trying to lay an IED Bridge over Vovcha river;Pavlohrad, Dnipropetrovsk Oblast, Ukraine;48,5294478;35,9032574;Pavlohrad;Dnipropetrovsk Oblast;Ukraine;APPROXIMATE
235;25/05/2015;UNKNOWN;1;0;Severodonetsk;LUHANSK;UKRAINE;One person was killed due to the detonation of a device;;;One person was killed due to the detonation of a device ;Severodonetsk, Luhans'ka oblast, Ukraine;48,9481767;38,4878773;Severodonetsk;Luhans'ka oblast;Ukraine;APPROXIMATE
236;23/05/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Suspicious IED - First Responders action - no explosive;;Inside a car parked in front of Regional State Administration;Suspicious IED - First Responders action - no explosive Inside a car parked in front of Regional State Administration;Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
237;23/05/2015;UNKNOWN;7;0;Mikhailivka;LUHANSK;UKRAINE;An IED was used in an ambush against a separatist leader;SHADOWS;Alexey Mozgovoy, GHOST BN Commander. In highway Lugansk-Alchevsk;An IED was used in an ambush against a separatist leader Alexey Mozgovoy, GHOST BN Commander. In highway Lugansk-Alchevsk;Luhansk, Luhans'ka oblast, Ukraine;48,574041;39,307815;Luhansk;Luhans'ka oblast;Ukraine;APPROXIMATE
238;23/05/2015;HOAX/FALSE;0;0;Kherson;KHERSON;UKRAINE;Call reporting IED - First Responders action - no explosive;;Against a night club in Ilyicha Street;Call reporting IED - First Responders action - no explosive Against a night club in Ilyicha Street;Kherson, Khersons'ka oblast, Ukraine;46,635417;32,616867;Kherson;Khersons'ka oblast;Ukraine;APPROXIMATE
239;21/05/2015;CACHE/FOUND;0;0;Kiev;KIEV;UKRAINE;æTwo men were detained with explosives and weapons;;One block of TNT along with plastic explosive and an electric detonator;æTwo men were detained with explosives and weapons One block of TNT along with plastic explosive and an electric detonator;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
240;20/05/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Against the National Palace of Arts;Call reporting IED - First Responders action - no explosive Against the National Palace of Arts;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
241;20/05/2015;CACHE/FOUND;0;0;Asinovatstogo;DONETSK;UKRAINE;Explosives were found during the detention of a suspect;;5 Kg of TNT, detonating cord & detonators;Explosives were found during the detention of a suspect 5 Kg of TNT, detonating cord & detonators;Donetsk, Donetsk Oblast, Ukraine;48,015883;37,80285;Donetsk;Donetsk Oblast;Ukraine;APPROXIMATE
242;19/05/2015;CACHE/FOUND;0;0;Zaporizhia;ZAPORIZHYE;UKRAINE;A man was detained accused of selling explosives;;17,5 Kg of TNT were seized;A man was detained accused of selling explosives 17,5 Kg of TNT were seized;Zaporizhia, Zaporiz'ka oblast, Ukraine;47,8388;35,139567;Zaporizhia;Zaporiz'ka oblast;Ukraine;APPROXIMATE
243;18/05/2015;UNKNOWN;0;0;Gorsk;LUHANSK ;UKRAINE;A device was detonated against railroad;;Between Sentanovka and Shipilovo train stations;A device was detonated against railroad Between Sentanovka and Shipilovo train stations;Luhansk, Luhans'ka oblast, Ukraine;48,574041;39,307815;Luhansk;Luhans'ka oblast;Ukraine;APPROXIMATE
244;16/05/2015;UNKNOWN;0;0;Odessa;ODESSA;UKRAINE;An IED was blown up against a politicianÍs house;;MP Andrey Ilyenko, Svodoba party. Against a window of the house;An IED was blown up against a politicianÍs house MP Andrey Ilyenko, Svodoba party. Against a window of the house;Odessa, Odessa Oblast, Ukraine;46,482526;30,7233095;Odessa;Odessa Oblast;Ukraine;APPROXIMATE
245;15/05/2015;UNKNOWN;0;1;Avdiyivka;DONETSK;UKRAINE;An woman was injured by the detonation of an emplaced IED;;;An woman was injured by the detonation of an emplaced IED ;Avdiivka, Donetsk Oblast, Ukraine;48,136596;37,7491335;Avdiivka;Donetsk Oblast;Ukraine;APPROXIMATE
246;15/05/2015;HOAX/FALSE;0;0;Kharkiv;KHARKIV;UKRAINE;Call reporting IED - First Responders action - no explosive;;"Metro station ""Akademika Barabashova""";"Call reporting IED - First Responders action - no explosive Metro station ""Akademika Barabashova""";Kharkiv, Kharkiv Oblast, Ukraine;49,9935;36,230383;Kharkiv;Kharkiv Oblast;Ukraine;APPROXIMATE
247;15/05/2015;HOAX/FALSE;0;0;Kiev;KIEV;UKRAINE;Call reporting IED - First Responders action - no explosive;;Peresado?nyh metro station;Call reporting IED - First Responders action - no explosive Peresado?nyh metro station;Kyivs'ka oblast, Ukraine;50,0529506;30,7667133;Kyivs'ka oblast;Ukrainka;Ukraine;APPROXIMATE
248;15/05/2015;CACHE/FOUND;0;0;Lisichansk;LUHANSK ;UKRAINE;Explosives and weapons were found;;Close to a thermal power station;Explosives and weapons were found Close to a thermal power station;Lysychans'k, Luhans'ka oblast, Ukraine, 93100;48,9066145;38,4433605;Lysychans'k;Luhans'ka oblast;Ukraine;APPROXIMATE
